,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
134,17.6,12,19.6,13.8,13.5,9.29,6.54,19.4,19.8,10.9,8.39,8.06,13.7,6.62,12.3
135,17.7,10.4,25.3,12.7,12.1,10.6,7.25,12.6,18.6,11,12.7,7.4,10.5,6.3,10.4
136,16.6,8.94,25.2,16.7,11.6,13,7.14,12.1,16.5,9.75,12.5,6.54,7.95,6.81,9.96
137,12.8,10.5,23,21.9,12.5,9.99,6.82,14.8,18,8.43,11.3,7.41,8.49,6.5,10.2
138,12.4,9.6,17.9,17.7,16.2,7.8,6.98,19.7,17.6,8.33,9.81,8.44,8.66,6.4,10.7
139,11.5,9.88,16.5,16.3,15.7,7.8,13,20.2,11.8,8.37,11.9,8.39,8.02,6.9,9.22
140,10.5,9.39,10.8,17.5,23.4,12.7,9.65,22.2,12.1,8.76,15.5,7.85,8.56,7.35,9.43
141,10.5,11.6,13.5,15.8,22.2,12.2,6.69,18.3,15,9.17,12.1,6.75,8.92,8.71,10.1
142,11.6,13.1,14.1,15.5,18.8,14.4,6.34,18,13.7,7.19,17.6,6,9.49,7.81,9.19
143,11.1,10.9,22.1,12.8,15.4,13.1,14.3,23.4,11.6,8.43,22.6,5.96,8.81,7.93,9.36
144,10.9,9.63,24,18.5,14.3,22.1,16.9,18.2,18.1,8.41,17.2,6.49,12.8,7.52,10.3
145,10.6,9.3,18.7,21.9,18.7,19.7,26.3,16.8,21.3,7.89,15.4,11.5,11.1,7.4,11.5
146,12.8,8.9,18.9,16.4,17.9,21.6,13.7,16.8,21.2,9.23,13.3,11.8,11.2,8.89,11.6
147,9.35,8.7,16.6,27.1,27.1,25.3,14.2,20.1,22.8,16.8,16.8,11.1,11.8,10.2,11.5
148,7.81,9.47,17.1,27.8,24.4,25.7,13.2,25.8,20.6,16.7,14.1,16.4,14.6,8.74,12
149,10.7,9.07,22.5,28,26.6,27.3,10.3,28.6,21.9,20,13.5,20,14.6,7.38,10.1
150,14.9,8.92,26,26,25.4,21.5,11,26.5,16.5,14.9,16.3,22.8,12.7,7.94,8.55
151,16.1,9.26,34.6,31,23.9,20.2,11,20.1,13.3,15.3,16.7,21.3,11.7,12,8.35
152,14.3,9.85,32.4,24.6,25.3,21.9,12.2,16.8,12,14,16.4,19.9,10.1,17.7,16
153,12.4,10.7,28.6,16.1,25.8,20,15.5,16.6,10.6,12.2,35.6,16.5,8.08,13.9,19.8
154,13.5,9.54,25.3,16.4,27.9,14.5,15.3,16.2,8,14,37.6,18,8.32,10.6,69.2
155,22.5,10.5,28.1,11.7,22.4,12,21.8,18,8.52,14.9,38.8,19,8.54,9.41,55.2
156,16.4,9.34,36.5,9.06,20.9,12.7,21.7,16.8,12,16.4,34.5,22.8,8.95,9.72,40.2
157,12.9,9.87,42.1,8.6,18.6,17.3,29.5,17,11.2,10.7,26.1,20.2,9.75,11.3,35.8
158,33.4,12.1,77.6,11,14.9,14.9,42.5,15.2,15.1,10.6,19.5,16.7,10.9,14.3,34.2
159,21.9,11.1,80.3,16.1,14.3,17.1,24.7,15.2,18.4,11.2,16.3,17.4,11.4,21.7,29.5
160,13.9,12.3,45.8,18.5,16.7,18.6,17.2,15.4,14.2,9.4,16.4,24.8,13.7,25.6,20.9
161,12.8,12.1,30.7,13.1,17.8,20.4,15,15.6,13.6,9.59,17.2,26.2,13.9,20.4,14.7
162,18.9,12,26.3,11,19.7,20.8,14.4,17.3,15.1,8.83,15.9,28,13.8,21,14.6
163,11.8,12.8,26.6,10.3,23,17.6,12,23.7,13.9,9.63,14.4,23.6,12.7,27,26.4
164,11.6,11.3,23.3,10,27.5,17.8,9.96,29,11.4,10.8,12.4,20.3,12.8,29.4,35.9
165,20,11.9,22.6,10.6,26.1,17.1,10.8,19.4,16.5,9.18,11.6,17.4,11.4,22.2,47.6
166,34.5,12.7,22.6,11.2,19.7,16.4,9.71,34,22.4,10.8,12.1,16.1,11.8,35.1,41.6
167,23.9,9.61,24.5,10.1,18.3,13.9,8.9,52,23,14.2,10.2,15.5,10.9,48.5,42.7
168,17.1,8.29,32.9,8.24,15.9,14.4,11,43.5,16.9,22.3,10.9,14.4,10.8,45.2,34.6
169,19.2,8.46,28.6,8.43,13.5,18.6,11.5,34.8,13.3,78.8,12.2,18.9,11.4,46.1,41.8
