,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
289,20,13.9,9.22,24.9,15.4,22.9,19.1,18.7,18.7,17.5,13.4
290,19.4,13.7,8.94,24.6,15.2,22,19.1,17.9,17.9,17.5,12.3
291,18.6,13.5,9,24,15.3,23,18.6,18.7,17.5,17.6,12.3
292,18.3,13.1,9.33,23,14.9,22.7,17.7,18.2,17,17.1,10.3
293,18.4,12.9,9.23,22.7,14.5,20.8,17.6,18.3,16.6,17.1,9.13
294,17.7,12.3,9.12,22.2,13.7,21.2,17.1,17.3,16.6,17,9
295,17.3,11.9,9.2,21,13.6,20.6,17.3,15,15.7,17,9.12
296,16.7,11.5,8.62,20.6,13.3,18.6,17.4,13.4,15.2,17.4,9.12
297,15.9,11.3,8,20.4,12.8,18.1,17.3,13.9,13.2,17.3,9.08
298,15.1,10.7,8.29,20,12.1,18.5,17.4,15.3,13.5,16.9,9.42
299,14.3,10.3,7.9,19.6,11.9,19.3,17.6,15.4,14.1,16.7,7.83
300,13.8,9.87,7.99,18.7,11.8,18.2,17.7,14.9,14.6,16.7,9.2
301,13.4,9.41,8.18,18.3,11.8,17.9,17.1,15.1,14.6,16.4,9.55
302,13.1,8.62,8.12,17.6,12,15.5,16.6,14.1,14.9,16.1,9.36
303,12.9,8.17,7.41,16.9,12,15.7,16.5,13.2,14.5,16.5,9.2
304,12.7,7.95,7.03,16.2,11.5,15.5,16.1,12.9,14,17,9.08
305,12.4,7.99,7.01,16.9,9.23,14.6,13.8,11.4,13.8,16.6,8.63
306,12.2,8.13,6.65,17,9.02,14.2,11.6,10.9,13.6,16.1,8.58
307,11.8,7.92,6.31,16.8,9.03,14,11.6,11.2,12.8,16.1,8.8
308,11.6,7.86,6.31,16.2,8.63,14,12.2,10.6,12.6,13.5,8.42
309,11.4,7.31,6.24,16.5,8.49,13.5,11.8,11,12.6,9.96,8.13
