time,GCFFracSC,GCF_SCTile,GC_GCF_SCTile,GC_SCTile
733054,8.073040547,6.381683678,6.302088211,2.827980148
733055,7.723382339,6.067983894,6.067983894,0
733056,7.723382339,6.067983894,6.067983894,0
733057,12.136436,11.5132503,11.5132503,6.194400225
733058,21.95327278,23.54153011,23.41979586,18.93435715
733059,20.59092612,20.25002341,20.97106471,9.860473827
733060,18.68859444,19.67880888,19.34169866,9.382901021
733061,15.25751475,13.94325311,14.28036333,6.049255548
733062,12.458704,12.57140182,12.41221088,4.396479071
733063,11.13484409,9.457814402,9.350126416,2.907575616
733064,9.918625339,8.895964042,8.919374473,1.273527484
733065,9.79773387,8.053188501,7.922090083,1.699597341
733066,8.768751756,6.915441521,6.938851952,1.179885757
733067,7.483331773,6.227174829,6.086712239,3.577113962
733068,7.860052439,5.993070512,5.763648282,2.022661298
733069,8.950791273,8.596310516,8.198333177,7.290008428
733070,8.166214065,6.695383463,6.166307707,3.001217342
733071,6.034226051,5.084745763,5.534226051,2.373817773
733072,6.864687705,5.693416987,4.682086338,2.692199644
733073,4.345397509,3.188500796,3.858039142,1.966476262
733074,6.681992696,5.454630583,3.998501732,2.486187845
733075,5.977010956,3.427287199,3.36173799,2.462777414
733076,5.862908512,4.649311733,4.293473172,3.502200581
733077,5.192199644,3.975091301,4.115553891,1.184567843
733078,5.02003933,3.549021444,3.427287199,2.317632737
733079,5.340949527,3.296188782,2.701563817,0.781908418
733080,3.212426257,1.676186909,1.835377844,0.781908418
733081,5.427053095,3.951680869,2.163123888,1.549770578
733082,3.41324094,1.615319786,1.89156288,1.151793239
733083,5.262618223,3.853357056,2.120985111,1.601273527
733084,4.341183631,2.22399101,2.102256766,1.573181009
733085,4.908558854,3.385148422,2.163123888,1.493585542
733086,4.035396573,1.723007772,1.732371945,1.245434966
733087,3.791506695,2.102256766,1.816649499,1.217342448
733088,4.143318663,1.952430003,1.952430003,0.636763742
733089,4.151418672,1.952430003,1.952430003,0.454162375
733090,56.7223991,60.74538814,60.66579268,60.17417361
733091,45.51226707,49.70502856,49.85953741,35.63067703
733092,43.10693885,46.55398446,46.63826201,28.85101601
733093,34.49246184,38.18709617,37.77975466,26.95945313
733094,32.64139901,35.44339358,35.2654743,10.50191966
733095,26.5823579,26.87985766,26.8330368,5.510815619
733096,24.62847645,24.99297687,25.17557824,2.547054968
733097,15.27376159,13.92920685,13.61082498,7.205730874
733098,8.621031932,5.35630677,6.540874614,4.616537129
733099,8.89043918,6.976308643,6.770296844,6.391047851
733100,8.845350688,6.667290945,6.714111808,4.340294035
733101,41.82292349,41.92340107,41.90935481,41.72207135
733102,41.41178949,41.55351625,41.55351625,0.426069857
733103,41.41178949,41.55351625,41.55351625,0
733104,41.41178949,41.55351625,41.55351625,0
733105,72.04391797,75.37690795,75.37690795,67.06152261
733106,65.10787527,65.38533571,65.40874614,48.60005619
733107,55.07481974,55.00983238,54.99578612,23.62580766
733108,54.23138871,54.32624778,54.35434029,8.615038861
733109,54.27015638,54.67272216,54.4901208,3.520928926
733110,48.14598745,49.43346755,49.49901676,4.611855043
733111,32.51699597,30.1573181,30.1573181,10.59556138
733112,32.37025939,30.01217342,30.03558386,3.684801948
733113,19.13456316,17.38458657,17.38458657,8.11873771
733114,19.13456316,17.38458657,17.38458657,2.078846334
733115,31.50805319,31.06096076,31.06096076,18.84539751
733116,31.50805319,31.06096076,31.06096076,17.56250585
733117,83.4860942,84.92836408,84.92836408,83.56587695
733118,76.18789212,77.59621687,77.64771982,69.48684334
733119,69.71256672,69.38851952,69.58516715,46.89109467
733120,62.38950276,63.83088304,63.62955333,39.27802229
733121,41.02537691,42.26987546,42.82236164,34.9892312
733122,26.91525424,27.18419328,27.18419328,27.12332615
733123,26.91525424,27.18419328,27.18419328,1.240752879
733124,27.54302837,27.9988763,27.9988763,2.116303025
733125,38.84661485,40.0973874,39.53085495,21.41118082
