,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
289,19.4,21,16.1,30.2,20.3,25.2,22.7,33.1,31.4,27.7,21.9
290,19.4,20.4,15.9,29.4,20.5,24.8,22.4,32.3,31.4,26.3,21.4
291,18.9,20.1,15.9,28.7,19.3,25.6,22,31.6,31.1,25.2,21
292,18.8,19.7,15.6,28.9,18.4,25.6,20.7,30.7,30.1,24.6,20.5
293,18.3,19,15.2,25.8,18,24.6,20.3,31.4,29.1,24.8,20.1
294,18.2,18.4,15.4,26.3,18,24.8,19.9,29.6,28.3,24.6,19.8
295,17.9,18.4,15.5,25.7,17.8,23.2,19.2,27.6,27.8,24.1,19.5
296,17,18,13.9,25.2,17.4,20.3,18.9,26,27.1,22.9,18.9
297,15.6,17.7,14.2,24.9,17.4,20.5,18.6,24.7,26.6,22.7,18.4
298,15.3,17.3,14,23.7,15.8,19.9,17.7,27,26.1,23,18.3
299,13.9,16.9,14.2,22.5,15.4,19.8,17.7,25.9,26.1,22.9,18
300,13.3,16,14.3,22.3,15.5,18,17.9,25,25.9,22.4,17.5
301,13.2,15.7,14.2,22.4,15.3,18.3,17.8,20.4,25.7,21.2,16.7
302,13.1,15.6,13.6,21.6,15.2,16.5,18.4,22.4,25,20.6,15.8
303,12,16.3,13.2,20.9,15.6,16.4,17.9,21.1,24.4,20.9,15
304,11.2,14.7,12.7,20.3,15,17.9,16,19.9,22.8,20.4,15.2
305,10.8,14.4,12.3,20.4,13.3,17.5,15.2,19.9,22.7,18.9,16.6
306,10.6,14.7,11.5,19.3,13.1,16.5,15.9,20.5,22.7,17,16.5
307,10.7,14.8,11.6,18.5,12.8,15.9,16,21.2,22.4,16.8,15.2
308,10.8,14.4,12.2,19.2,12.6,15.5,15.9,21.2,22.1,17.3,15
309,10.8,14,12.5,19.1,12.3,15.1,15.4,21.4,22,17.1,14.8
310,11,14.3,12.7,19.1,12.1,14.3,14.6,20,21.8,16.8,14.5
311,11.2,13.7,12.5,19.1,12.1,14.4,14.6,20.3,21.7,16.8,14.5
312,11.5,13,12.7,17.6,12.1,14.2,14.5,20.1,21.3,17.4,14.1
313,11.9,13.2,12.6,17,12.1,14.3,14.8,19.3,20.8,17.5,13.8
314,12.6,13.2,13.2,15.7,12,14.1,12.9,19.1,20.8,17.1,13.3
315,11.7,11.5,12.3,13.3,10.3,14.1,12.1,18.2,20.8,17,12.3
316,11.6,11.3,11.4,11.6,10.1,14.3,12.1,15.2,20.4,16.6,11.6
